,name,cnt,grp,grp_cnt
0,Sense Death,41,13,277
1,Electronic interaction,75,13,277
2,Radar Sense,77,13,277
3,Danger Sense,84,13,277
4,Dummy,0,13,0
5,Penance Stare,6,14,322
6,Hellfire Control,23,14,322
7,Soul Absorption,37,14,322
8,Darkness Manipulation,48,14,322
9,Death Touch,53,14,322
10,Necromancy,70,14,322
11,Possession,85,14,322
12,Dummy,0,14,0
13,Blood Control,14,11,404
14,Controlled Bone Growth,17,11,404
15,Pheromone Control,18,11,404
16,Enhance Mutation,48,11,404
17,Genetic Manipulation,73,11,404
18,Shape Shifter,234,11,404
19,Dummy,0,11,0
20,Inertia Absorption,21,8,535
21,Magnetism,52,8,535
22,Gravity control,54,8,535
23,Vibration Wave,57,8,535
24,Density Control,83,8,535
25,Force Field,268,8,535
26,Dummy,0,8,0
27,Sand manipulation,12,7,643
28,Plant Control,31,7,643
29,Ice Breath,35,7,643
30,Flame Breath,40,7,643
31,Water Control,46,7,643
32,Ice Control,52,7,643
33,Earth Manipulation,63,7,643
34,Weather Control,71,7,643
35,Wind Bursts,78,7,643
36,Animal Control,90,7,643
37,Fire Control,125,7,643
38,Dummy,0,7,0
39,Probability Manipulation,37,10,665
40,Time Travel,107,10,665
41,Time Manipulation,114,10,665
42,Reality Manpulation,123,10,665
43,Dimensional Manipulation,131,10,665
44,Illusion Casting,153,10,665
45,Dummy,0,10,0
46,Vampirism,25,12,837
47,Poisonous,30,12,837
48,Immortal,265,12,837
49,Invulnerability,517,12,837
50,Dummy,0,12,0
51,Animation,59,6,847
52,Siphon Abilities,65,6,847
53,Siphon Lifeforce,66,6,847
54,Power Mimicry,68,6,847
55,Cosmic Awareness,117,6,847
56,Astral Projection,130,6,847
57,Divine Powers,156,6,847
58,Magic,186,6,847
59,Dummy,0,6,0
60,Psychometry,27,9,1363
61,Postcognition,29,9,1363
62,Voice-induced Manipulation,43,9,1363
63,Emotion Control,57,9,1363
64,Mesmerize,64,9,1363
65,Precognition,77,9,1363
66,Empathy,81,9,1363
67,Willpower-Based Constructs,112,9,1363
68,Hypnosis,116,9,1363
69,Psychic,132,9,1363
70,Telekinesis,176,9,1363
71,Psionic,200,9,1363
72,Telepathy,249,9,1363
73,Dummy,0,9,0
74,Implants,135,2,1825
75,Power Suit,184,2,1825
76,Insanely Rich,221,2,1825
77,Power Item,264,2,1825
78,Gadgets,473,2,1825
79,Weapon Master,548,2,1825
80,Dummy,0,2,0
81,Darkforce Manipulation,52,5,2248
82,Technopathy,64,5,2248
83,Electronic Disruption,64,5,2248
84,Radiation,65,5,2248
85,Holographic Projection,73,5,2248
86,Electricity Control,123,5,2248
87,Heat Generation,135,5,2248
88,Energy Based Constructs,140,5,2248
89,Light Projection,145,5,2248
90,Energy Shield,173,5,2248
91,Energy-Enhanced Strike,198,5,2248
92,Energy Absorption,216,5,2248
93,Energy Manipulation,257,5,2248
94,Blast Power,543,5,2248
95,Dummy,0,5,0
96,Prehensile Hair,4,3,2632
97,Shadowmeld,17,3,2632
98,Chemical Absorbtion,23,3,2632
99,Sonic Scream,27,3,2632
100,Webslinger,27,3,2632
101,Chemical Secretion,51,3,2632
102,Wall Clinger,59,3,2632
103,Duplication,60,3,2632
104,Matter Absorption,65,3,2632
105,Elasticity,67,3,2632
106,Heat Vision,72,3,2632
107,Sub-Mariner,75,3,2632
108,Chameleon,85,3,2632
109,Invisibility,119,3,2632
110,Phasing / Ghost,152,3,2632
111,Size Manipulation,159,3,2632
112,Levitation,165,3,2632
113,Feral,173,3,2632
114,Claws,192,3,2632
115,Adaptive,196,3,2632
116,Teleport,237,3,2632
117,Flight,607,3,2632
118,Dummy,0,3,0
119,Synaesthesia,7,4,4544
120,Omni-lingual,104,4,4544
121,Swordsmanship,215,4,4544
122,Escape Artist,224,4,4544
123,Tracking,366,4,4544
124,Stealth,426,4,4544
125,Marksmanship,448,4,4544
126,Leadership,593,4,4544
127,Intellect,1006,4,4544
128,Unarmed Combat,1155,4,4544
129,Dummy,0,4,0
130,Super Eating,30,1,4746
131,Super Smell,152,1,4746
132,Super Hearing,220,1,4746
133,Berserker Strength,227,1,4746
134,Super Sight,267,1,4746
135,Longevity,374,1,4746
136,Super Speed,476,1,4746
137,Healing,479,1,4746
138,Super Strength,782,1,4746
139,Agility,848,1,4746
140,Stamina,891,1,4746
141,Dummy,0,1,0
