,name,cnt,grp,grp_cnt
0,Sense Death(MC),27,13,180
1,Electronic interaction(MC),49,13,180
2,Radar Sense(MC),46,13,180
3,Danger Sense(MC),58,13,180
4,Dummy13(MC),0,13,0
5,Penance Stare(MC),4,14,192
6,Hellfire Control(MC),15,14,192
7,Soul Absorption(MC),21,14,192
8,Darkness Manipulation(MC),25,14,192
9,Death Touch(MC),34,14,192
10,Necromancy(MC),44,14,192
11,Possession(MC),49,14,192
12,Dummy14(MC),0,14,0
13,Blood Control(MC),9,11,265
14,Controlled Bone Growth(MC),13,11,265
15,Pheromone Control(MC),15,11,265
16,Enhance Mutation(MC),36,11,265
17,Genetic Manipulation(MC),56,11,265
18,Shape Shifter(MC),136,11,265
19,Dummy11(MC),0,11,0
20,Inertia Absorption(MC),12,8,272
21,Magnetism(MC),31,8,272
22,Gravity control(MC),35,8,272
23,Vibration Wave(MC),31,8,272
24,Density Control(MC),35,8,272
25,Force Field(MC),128,8,272
26,Dummy8(MC),0,8,0
27,Sand manipulation(MC),3,7,356
28,Plant Control(MC),19,7,356
29,Ice Breath(MC),9,7,356
30,Flame Breath(MC),22,7,356
31,Water Control(MC),27,7,356
32,Ice Control(MC),26,7,356
33,Earth Manipulation(MC),44,7,356
34,Weather Control(MC),38,7,356
35,Wind Bursts(MC),33,7,356
36,Animal Control(MC),56,7,356
37,Fire Control(MC),79,7,356
38,Dummy7(MC),0,7,0
39,Probability Manipulation(MC),22,10,345
40,Time Travel(MC),48,10,345
41,Time Manipulation(MC),60,10,345
42,Reality Manpulation(MC),56,10,345
43,Dimensional Manipulation(MC),78,10,345
44,Illusion Casting(MC),81,10,345
45,Dummy10(MC),0,10,0
46,Vampirism(MC),16,12,473
47,Poisonous(MC),18,12,473
48,Immortal(MC),132,12,473
49,Invulnerability(MC),307,12,473
50,Dummy12(MC),0,12,0
51,Animation(MC),37,6,486
52,Siphon Abilities(MC),43,6,486
53,Siphon Lifeforce(MC),54,6,486
54,Power Mimicry(MC),45,6,486
55,Cosmic Awareness(MC),68,6,486
56,Astral Projection(MC),74,6,486
57,Divine Powers(MC),74,6,486
58,Magic(MC),91,6,486
59,Dummy6(MC),0,6,0
60,Psychometry(MC),17,9,803
61,Postcognition(MC),18,9,803
62,Voice-induced Manipulation(MC),26,9,803
63,Emotion Control(MC),34,9,803
64,Mesmerize(MC),47,9,803
65,Precognition(MC),47,9,803
66,Empathy(MC),56,9,803
67,Willpower-Based Constructs(MC),36,9,803
68,Hypnosis(MC),63,9,803
69,Psychic(MC),83,9,803
70,Telekinesis(MC),94,9,803
71,Psionic(MC),138,9,803
72,Telepathy(MC),144,9,803
73,Dummy9(MC),0,9,0
74,Implants(MC),94,2,951
75,Power Suit(MC),112,2,951
76,Insanely Rich(MC),119,2,951
77,Power Item(MC),105,2,951
78,Gadgets(MC),234,2,951
79,Weapon Master(MC),287,2,951
80,Dummy2(MC),0,2,0
81,Darkforce Manipulation(MC),30,5,1259
82,Technopathy(MC),39,5,1259
83,Electronic Disruption(MC),48,5,1259
84,Radiation(MC),34,5,1259
85,Holographic Projection(MC),31,5,1259
86,Electricity Control(MC),68,5,1259
87,Heat Generation(MC),86,5,1259
88,Energy Based Constructs(MC),54,5,1259
89,Light Projection(MC),74,5,1259
90,Energy Shield(MC),98,5,1259
91,Energy-Enhanced Strike(MC),114,5,1259
92,Energy Absorption(MC),128,5,1259
93,Energy Manipulation(MC),142,5,1259
94,Blast Power(MC),313,5,1259
