,name,cnt,grp,grp_cnt
0,Sense Death(MC),23,13,185
1,Electronic interaction(MC),52,13,185
2,Radar Sense(MC),51,13,185
3,Danger Sense(MC),59,13,185
4,Dummy13(MC),0,13,0
5,Penance Stare(MC),6,14,224
6,Hellfire Control(MC),18,14,224
7,Soul Absorption(MC),26,14,224
8,Darkness Manipulation(MC),36,14,224
9,Death Touch(MC),35,14,224
10,Necromancy(MC),46,14,224
11,Possession(MC),57,14,224
12,Dummy14(MC),0,14,0
13,Blood Control(MC),8,11,270
14,Controlled Bone Growth(MC),10,11,270
15,Pheromone Control(MC),9,11,270
16,Enhance Mutation(MC),37,11,270
17,Genetic Manipulation(MC),54,11,270
18,Shape Shifter(MC),152,11,270
19,Dummy11(MC),0,11,0
20,Inertia Absorption(MC),19,8,369
21,Magnetism(MC),36,8,369
22,Gravity control(MC),38,8,369
23,Vibration Wave(MC),37,8,369
24,Density Control(MC),60,8,369
25,Force Field(MC),179,8,369
26,Dummy8(MC),0,8,0
27,Sand manipulation(MC),7,7,393
28,Plant Control(MC),16,7,393
29,Ice Breath(MC),25,7,393
30,Flame Breath(MC),32,7,393
31,Water Control(MC),23,7,393
32,Ice Control(MC),28,7,393
33,Earth Manipulation(MC),38,7,393
34,Weather Control(MC),46,7,393
35,Wind Bursts(MC),49,7,393
36,Animal Control(MC),53,7,393
37,Fire Control(MC),76,7,393
38,Dummy7(MC),0,7,0
39,Probability Manipulation(MC),19,10,463
40,Time Travel(MC),81,10,463
41,Time Manipulation(MC),83,10,463
42,Reality Manpulation(MC),90,10,463
43,Dimensional Manipulation(MC),94,10,463
44,Illusion Casting(MC),96,10,463
45,Dummy10(MC),0,10,0
46,Vampirism(MC),18,12,632
47,Poisonous(MC),19,12,632
48,Immortal(MC),202,12,632
49,Invulnerability(MC),393,12,632
50,Dummy12(MC),0,12,0
51,Animation(MC),40,6,581
52,Siphon Abilities(MC),45,6,581
53,Siphon Lifeforce(MC),51,6,581
54,Power Mimicry(MC),55,6,581
55,Cosmic Awareness(MC),87,6,581
56,Astral Projection(MC),83,6,581
57,Divine Powers(MC),98,6,581
58,Magic(MC),122,6,581
59,Dummy6(MC),0,6,0
60,Psychometry(MC),19,9,840
61,Postcognition(MC),15,9,840
62,Voice-induced Manipulation(MC),28,9,840
63,Emotion Control(MC),29,9,840
64,Mesmerize(MC),42,9,840
65,Precognition(MC),47,9,840
66,Empathy(MC),43,9,840
67,Willpower-Based Constructs(MC),66,9,840
68,Hypnosis(MC),80,9,840
69,Psychic(MC),79,9,840
70,Telekinesis(MC),114,9,840
71,Psionic(MC),117,9,840
72,Telepathy(MC),161,9,840
73,Dummy9(MC),0,9,0
74,Implants(MC),108,2,1367
75,Power Suit(MC),151,2,1367
76,Insanely Rich(MC),168,2,1367
77,Power Item(MC),194,2,1367
78,Gadgets(MC),361,2,1367
79,Weapon Master(MC),385,2,1367
80,Dummy2(MC),0,2,0
81,Darkforce Manipulation(MC),36,5,1531
82,Technopathy(MC),50,5,1531
83,Electronic Disruption(MC),36,5,1531
84,Radiation(MC),49,5,1531
85,Holographic Projection(MC),46,5,1531
86,Electricity Control(MC),84,5,1531
87,Heat Generation(MC),96,5,1531
88,Energy Based Constructs(MC),94,5,1531
89,Light Projection(MC),87,5,1531
90,Energy Shield(MC),110,5,1531
91,Energy-Enhanced Strike(MC),135,5,1531
92,Energy Absorption(MC),152,5,1531
93,Energy Manipulation(MC),176,5,1531
94,Blast Power(MC),380,5,1531
95,Dummy5(MC),0,5,0
96,Prehensile Hair(MC),1,3,1814
97,Shadowmeld(MC),8,3,1814
98,Chemical Absorbtion(MC),14,3,1814
99,Sonic Scream(MC),15,3,1814
100,Webslinger(MC),16,3,1814
101,Chemical Secretion(MC),34,3,1814
102,Wall Clinger(MC),39,3,1814
103,Duplication(MC),44,3,1814
104,Matter Absorption(MC),56,3,1814
105,Elasticity(MC),51,3,1814
106,Heat Vision(MC),52,3,1814
107,Sub-Mariner(MC),51,3,1814
108,Chameleon(MC),60,3,1814
109,Invisibility(MC),76,3,1814
110,Phasing / Ghost(MC),106,3,1814
111,Size Manipulation(MC),121,3,1814
112,Levitation(MC),103,3,1814
113,Feral(MC),134,3,1814
114,Claws(MC),132,3,1814
115,Adaptive(MC),148,3,1814
116,Teleport(MC),163,3,1814
117,Flight(MC),390,3,1814
118,Dummy3(MC),0,3,0
119,Synaesthesia(MC),3,4,3049
120,Omni-lingual(MC),72,4,3049
121,Swordsmanship(MC),140,4,3049
122,Escape Artist(MC),161,4,3049
123,Tracking(MC),255,4,3049
124,Stealth(MC),279,4,3049
125,Marksmanship(MC),295,4,3049
126,Leadership(MC),418,4,3049
127,Intellect(MC),657,4,3049
128,Unarmed Combat(MC),769,4,3049
129,Dummy4(MC),0,4,0
130,Super Eating(MC),26,1,3354
131,Super Smell(MC),115,1,3354
132,Super Hearing(MC),156,1,3354
133,Berserker Strength(MC),182,1,3354
134,Super Sight(MC),193,1,3354
135,Longevity(MC),266,1,3354
136,Super Speed(MC),345,1,3354
137,Healing(MC),337,1,3354
138,Super Strength(MC),573,1,3354
139,Agility(MC),542,1,3354
140,Stamina(MC),619,1,3354
141,Dummy1(MC),0,1,0
142,Stamina(DC),259,1,1309
143,Agility(DC),301,1,1309
144,Super Strength(DC),193,1,1309
