grp,variable,value,grp2,var2,num
13_1,13_1,1.0,Sense Death,Sense Death,41
13_1,13_2,0.011800990697682,Sense Death,Electronic interaction,5
13_1,13_3,9.498945756108754e-05,Sense Death,Radar Sense,2
13_1,13_4,0.0965520555924993,Sense Death,Danger Sense,14
13_1,14_1,0.059066513358103,Sense Death,Penance Stare,4
13_1,14_2,0.1405814640868841,Sense Death,Hellfire Control,11
13_1,14_3,0.1607921928026672,Sense Death,Soul Absorption,14
13_1,14_4,0.1069964572397246,Sense Death,Darkness Manipulation,12
13_1,14_5,0.1154380717186901,Sense Death,Death Touch,13
13_1,14_6,0.302415453408947,Sense Death,Necromancy,25
13_1,14_7,0.0831736775693716,Sense Death,Possession,13
13_1,11_1,0.0366366549136877,Sense Death,Blood Control,4
13_1,11_2,0.01963611309259,Sense Death,Controlled Bone Growth,3
13_1,11_3,0.0016249349821407,Sense Death,Pheromone Control,1
13_1,11_4,0.00620651268549,Sense Death,Enhance Mutation,3
13_1,11_5,0.0803757897741291,Sense Death,Genetic Manipulation,12
13_1,11_6,0.1021824117509438,Sense Death,Shape Shifter,22
13_1,8_1,0.0011634427219987,Sense Death,Inertia Absorption,1
13_1,8_2,0.0191021430163689,Sense Death,Magnetism,5
13_1,8_3,0.0108920706530114,Sense Death,Gravity control,4
13_1,8_4,0.0100727081292942,Sense Death,Vibration Wave,4
13_1,8_5,0.0316984937090551,Sense Death,Density Control,8
13_1,8_6,0.0446581775346635,Sense Death,Force Field,17
13_1,7_1,0.003078534295502,Sense Death,Sand manipulation,1
13_1,7_2,0.0563046247690374,Sense Death,Plant Control,7
13_1,7_3,0.0001311984353153,Sense Death,Ice Breath,1
13_1,7_4,0.0596928419304768,Sense Death,Flame Breath,8
13_1,7_5,0.1098395431132286,Sense Death,Water Control,12
13_1,7_6,0.0737831562941225,Sense Death,Ice Control,10
13_1,7_7,0.1177334497524722,Sense Death,Earth Manipulation,14
13_1,7_8,0.1536696692193596,Sense Death,Weather Control,17
13_1,7_9,0.0536170189738066,Sense Death,Wind Bursts,10
13_1,7_10,0.1616221911652016,Sense Death,Animal Control,19
13_1,7_11,0.1711834503539674,Sense Death,Fire Control,22
13_1,10_1,0.1081004207536199,Sense Death,Probability Manipulation,11
13_1,10_2,0.0232365516968183,Sense Death,Time Travel,8
13_1,10_3,0.0754138787581125,Sense Death,Time Manipulation,14
13_1,10_4,0.1303572308068745,Sense Death,Reality Manpulation,19
13_1,10_5,0.0993677015804283,Sense Death,Dimensional Manipulation,17
13_1,10_6,0.161989379746965,Sense Death,Illusion Casting,23
13_1,12_1,0.0141234185658882,Sense Death,Vampirism,3
13_1,12_2,0.0003484348966801,Sense Death,Poisonous,1
13_1,12_3,0.0894869119089881,Sense Death,Immortal,22
13_1,12_4,0.0193476404946212,Sense Death,Invulnerability,20
13_1,6_1,0.1714799441156643,Sense Death,Animation,17
13_1,6_2,0.1458684309642192,Sense Death,Siphon Abilities,16
13_1,6_3,0.0865592094352855,Sense Death,Siphon Lifeforce,12
13_1,6_4,0.02099564804603,Sense Death,Power Mimicry,6
13_1,6_5,0.178925640771414,Sense Death,Cosmic Awareness,22
13_1,6_6,0.125006423884364,Sense Death,Astral Projection,19
13_1,6_7,0.1458974634200548,Sense Death,Divine Powers,22
13_1,6_8,0.1804306714998927,Sense Death,Magic,26
13_1,9_1,0.0344720287151321,Sense Death,Psychometry,5
13_1,9_2,0.0588234578005767,Sense Death,Postcognition,7
13_1,9_3,0.0838768476284852,Sense Death,Voice-induced Manipulation,10
13_1,9_4,0.0957918742004338,Sense Death,Emotion Control,12
13_1,9_5,0.1315736163110963,Sense Death,Mesmerize,15
13_1,9_6,0.1617282926646631,Sense Death,Precognition,18
13_1,9_7,0.074135099744776,Sense Death,Empathy,12
13_1,9_8,0.0291274445344237,Sense Death,Willpower-Based Constructs,9
13_1,9_9,0.1360825700811878,Sense Death,Hypnosis,19
13_1,9_10,0.0871693595530565,Sense Death,Psychic,16
13_1,9_11,0.132540088957068,Sense Death,Telekinesis,22
13_1,9_12,0.0567333702474854,Sense Death,Psionic,16
