group,variable,value
Claws,Claws,100.0
Claws,Super Speed,46.354166666666700
Claws,Sand manipulation,0.5208333333333330
Claws,Probability Manipulation,2.6041666666666700
Claws,Super Strength,71.35416666666670
Claws,Shadowmeld,1.5625
Claws,Radar Sense,8.333333333333330
Claws,Weather Control,5.208333333333330
Claws,Magic,12.5
Claws,Power Item,13.541666666666700
Claws,Cosmic Awareness,9.375
Claws,Blood Control,1.5625
Claws,Energy Based Constructs,6.770833333333330
Claws,Voice-induced Manipulation,3.125
Claws,Death Touch,6.25
Claws,Sense Death,4.166666666666670
Claws,Stealth,32.8125
Claws,Darkforce Manipulation,6.770833333333330
Claws,Webslinger,6.770833333333330
Claws,Reality Manpulation,9.895833333333330
Claws,Psychometry,2.0833333333333300
Claws,Chameleon,14.0625
Claws,Prehensile Hair,1.0416666666666700
Claws,Invulnerability,35.416666666666700
Claws,Hypnosis,9.375
Claws,Electronic Disruption,2.6041666666666700
Claws,Precognition,2.6041666666666700
Claws,Psychic,6.770833333333330
Claws,Unarmed Combat,81.25
Claws,Super Eating,5.208333333333330
Claws,Telepathy,16.666666666666700
Claws,Astral Projection,11.458333333333300
Claws,Light Projection,5.208333333333330
Claws,Power Suit,9.375
Claws,Controlled Bone Growth,5.208333333333330
Claws,Willpower-Based Constructs,6.770833333333330
Claws,Technopathy,2.0833333333333300
Claws,Plant Control,2.6041666666666700
Claws,Tracking,38.541666666666700
Claws,Hellfire Control,3.125
Claws,Elasticity,9.375
Claws,Siphon Abilities,6.25
Claws,Feral,55.729166666666700
Claws,Magnetism,4.6875
Claws,Size Manipulation,17.708333333333300
Claws,Density Control,6.770833333333330
Claws,Energy Shield,9.375
Claws,Holographic Projection,2.6041666666666700
Claws,Illusion Casting,9.375
Claws,Pheromone Control,3.6458333333333300
Claws,Penance Stare,0.0
Claws,Duplication,5.208333333333330
Claws,Agility,78.125
Claws,Shape Shifter,31.25
Claws,Super Sight,38.541666666666700
Claws,Danger Sense,11.979166666666700
Claws,Adaptive,21.875
Claws,Heat Vision,4.6875
Claws,Darkness Manipulation,6.25
Claws,Water Control,5.208333333333330
Claws,Longevity,27.083333333333300
Claws,Sonic Scream,4.166666666666670
Claws,Stamina,65.10416666666670
Claws,Energy Manipulation,13.541666666666700
Claws,Omni-lingual,5.208333333333330
Claws,Chemical Secretion,7.8125
Claws,Energy Absorption,8.854166666666670
Claws,Animal Control,13.541666666666700
Claws,Soul Absorption,4.166666666666670
Claws,Mesmerize,4.166666666666670
Claws,Immortal,17.708333333333300
Claws,Genetic Manipulation,8.854166666666670
Claws,Swordsmanship,13.541666666666700
Claws,Chemical Absorbtion,3.6458333333333300
Claws,Force Field,12.5
Claws,Psionic,11.458333333333300
Claws,Enhance Mutation,7.291666666666670
Claws,Matter Absorption,6.770833333333330
Claws,Synaesthesia,1.0416666666666700
Claws,Necromancy,6.770833333333330
Claws,Power Mimicry,10.9375
Claws,Energy-Enhanced Strike,8.333333333333330
Claws,Invisibility,8.333333333333330
Claws,Super Hearing,34.895833333333300
Claws,Intellect,50.520833333333300
Claws,Vibration Wave,5.208333333333330
Claws,Ice Breath,1.5625
Claws,Levitation,7.291666666666670
Claws,Postcognition,2.0833333333333300
