,grp,variable,value
0,13_1,13_1,1.0
1,13_1,13_2,0.011800990697682052
2,13_1,13_3,9.498945756108754e-05
3,13_1,13_4,0.0965520555924993
4,13_1,14_1,0.059066513358103
5,13_1,14_2,0.14058146408688418
6,13_1,14_3,0.16079219280266724
7,13_1,14_4,0.10699645723972469
8,13_1,14_5,0.11543807171869014
9,13_1,14_6,0.302415453408947
10,13_1,14_7,0.0831736775693716
11,13_1,11_1,0.03663665491368772
12,13_1,11_2,0.01963611309259004
13,13_1,11_3,0.0016249349821407068
14,13_1,11_4,0.0062065126854900605
15,13_1,11_5,0.08037578977412915
16,13_1,11_6,0.10218241175094388
17,13_1,8_1,0.0011634427219987878
18,13_1,8_2,0.01910214301636894
19,13_1,8_3,0.010892070653011458
20,13_1,8_4,0.01007270812929425
21,13_1,8_5,0.03169849370905511
22,13_1,8_6,0.0446581775346635
23,13_1,7_1,0.003078534295502081
24,13_1,7_2,0.056304624769037456
25,13_1,7_3,0.0001311984353153028
26,13_1,7_4,0.05969284193047684
27,13_1,7_5,0.10983954311322867
28,13_1,7_6,0.07378315629412259
29,13_1,7_7,0.11773344975247221
30,13_1,7_8,0.1536696692193596
31,13_1,7_9,0.05361701897380662
32,13_1,7_10,0.1616221911652016
33,13_1,7_11,0.17118345035396743
34,13_1,10_1,0.1081004207536199
35,13_1,10_2,0.023236551696818358
36,13_1,10_3,0.07541387875811258
37,13_1,10_4,0.13035723080687456
38,13_1,10_5,0.09936770158042835
39,13_1,10_6,0.16198937974696503
40,13_1,12_1,0.01412341856588822
41,13_1,12_2,0.0003484348966801824
42,13_1,12_3,0.08948691190898815
43,13_1,12_4,0.019347640494621288
44,13_1,6_1,0.17147994411566436
45,13_1,6_2,0.14586843096421928
46,13_1,6_3,0.08655920943528556
47,13_1,6_4,0.020995648046030036
48,13_1,6_5,0.17892564077141404
49,13_1,6_6,0.12500642388436403
50,13_1,6_7,0.14589746342005483
51,13_1,6_8,0.18043067149989278
52,13_1,9_1,0.03447202871513211
53,13_1,9_2,0.058823457800576795
54,13_1,9_3,0.08387684762848527
55,13_1,9_4,0.09579187420043385
56,13_1,9_5,0.1315736163110963
57,13_1,9_6,0.1617282926646631
58,13_1,9_7,0.074135099744776
59,13_1,9_8,0.029127444534423782
60,13_1,9_9,0.1360825700811878
61,13_1,9_10,0.08716935955305655
62,13_1,9_11,0.132540088957068
63,13_1,9_12,0.05673337024748548
64,13_1,9_13,0.1297653368568162
65,13_1,2_1,0.001177970538942974
66,13_1,2_2,0.003995132305804065
67,13_1,2_3,0.0021179530252226695
68,13_1,2_4,0.05346941054888851
69,13_1,2_5,0.012655190283336547
70,13_1,2_6,9.358171367071994e-05
71,13_1,5_1,0.1662572219241098
72,13_1,5_2,0.008389681969560853
73,13_1,5_3,0.02252884170127577
74,13_1,5_4,0.00776839611235526
75,13_1,5_5,0.03625059813027046
76,13_1,5_6,0.1046552128011733
77,13_1,5_7,0.04559512666428979
78,13_1,5_8,0.043709975026795016
79,13_1,5_9,0.05976664387341344
80,13_1,5_10,0.057659756588154795
81,13_1,5_11,0.010692313237985671
82,13_1,5_12,0.08872618772321125
83,13_1,5_13,0.04754088124975864
84,13_1,5_14,0.07527453308137595
85,13_1,3_1,0.00825257445534555
86,13_1,3_2,0.032361900771298725
87,13_1,3_3,0.026097422710346495
88,13_1,3_4,0.013090441309414008
89,13_1,3_5,0.0005475641364318972
90,13_1,3_6,0.011780235082453863
91,13_1,3_7,0.007039121274218015
92,13_1,3_8,0.05457390426944192
93,13_1,3_9,0.07461623905367107
94,13_1,3_10,0.003087039669094439
95,13_1,3_11,0.002524560377912938
96,13_1,3_12,0.002225661484150677
97,13_1,3_13,0.039827737141010615
98,13_1,3_14,0.09524143382265185
99,13_1,3_15,0.08716447609504496
100,13_1,3_16,0.02312130402126884
101,13_1,3_17,0.08059888923182207
102,13_1,3_18,0.005798436355240102
103,13_1,3_19,0.007376269656733158
104,13_1,3_20,0.0672451948941478
105,13_1,3_21,0.14852403677618162
106,13_1,3_22,0.007427257122553056
107,13_1,4_1,0.0008228873844577114
108,13_1,4_2,0.031908005601581364
109,13_1,4_3,0.0363921862409404
110,13_1,4_4,0.016249289217729206
111,13_1,4_5,0.011224675646718725
112,13_1,4_6,0.006096863304512788
113,13_1,4_7,0.00023115898171312068
114,13_1,4_8,0.019659323740604452
115,13_1,4_9,0.013927335214221605
116,13_1,4_10,0.000891937325675841
117,13_1,1_1,0.0003484348966801824
118,13_1,1_2,0.0045080577587921665
119,13_1,1_3,0.016897118930839367
120,13_1,1_4,0.04815484669073791
121,13_1,1_5,0.014677114996646349
122,13_1,1_6,0.03528021860483909
123,13_1,1_7,0.035883260620527484
124,13_1,1_8,0.16393666380835104
125,13_1,1_9,0.027198387169013488
126,13_1,1_10,0.011713540196487134
127,13_1,1_11,0.02018008247371124
128,13_2,13_1,0.007402587791422942
129,13_2,13_2,1.0
130,13_2,13_3,0.08517652524958584
131,13_2,13_4,0.02841263109886538
132,13_2,14_1,0.002224304820560878
133,13_2,14_2,0.00952091824367574
134,13_2,14_3,0.0047905035275943135
135,13_2,14_4,0.01854209757625372
136,13_2,14_5,0.007912888013033078
137,13_2,14_6,0.00740167380215853
138,13_2,14_7,0.0001056795089086861
139,13_2,11_1,0.008903253202097991
140,13_2,11_2,0.013073040706118031
141,13_2,11_3,0.00247900368087051
142,13_2,11_4,0.01362726916706682
143,13_2,11_5,0.01012170794039959
144,13_2,11_6,0.02008551501718614
145,13_2,8_1,0.0018373951101358687
146,13_2,8_2,0.10518935555286275
147,13_2,8_3,0.020986794197893587
148,13_2,8_4,0.024900140348760393
149,13_2,8_5,0.011261430727274004
150,13_2,8_6,0.07281261277710453
151,13_2,7_1,0.000665598003242652
152,13_2,7_2,0.00011774346249775834
153,13_2,7_3,0.0003155184183395745
154,13_2,7_4,0.012045713608932952
155,13_2,7_5,0.009918123959800594
156,13_2,7_6,2.0753012611109998e-05
157,13_2,7_7,0.00900491974295961
158,13_2,7_8,0.01894677685375112
159,13_2,7_9,0.0033507412572507523
160,13_2,7_10,0.0006845876148255101
161,13_2,7_11,0.00021677770433922578
162,13_2,10_1,0.013292728804193379
163,13_2,10_2,0.02460183847062593
164,13_2,10_3,0.0223834645267618
165,13_2,10_4,0.012591930133870699
166,13_2,10_5,0.005675870186695535
167,13_2,10_6,0.007509135954485109
168,13_2,12_1,0.004267397593720359
169,13_2,12_2,0.0006618823588835826
170,13_2,12_3,0.0040090697518169365
171,13_2,12_4,0.037288756601852796
172,13_2,6_1,0.003596609797160094
173,13_2,6_2,0.00851762106101247
174,13_2,6_3,0.016193711123380135
175,13_2,6_4,0.002409354485860424
176,13_2,6_5,0.017524631006959904
177,13_2,6_6,0.014450093826911857
178,13_2,6_7,0.004903911064601261
179,13_2,6_8,0.0011590119033150301
180,13_2,9_1,2.3057985398720344e-05
181,13_2,9_2,0.000752424340104616
182,13_2,9_3,0.0011881256900587557
183,13_2,9_4,0.006946723442731025
184,13_2,9_5,0.0010282507622278159
185,13_2,9_6,0.0015342565138719603
186,13_2,9_7,0.005378058600909468
187,13_2,9_8,0.005847389537414197
188,13_2,9_9,0.00048505226683950923
189,13_2,9_10,0.0018565083365695012
190,13_2,9_11,0.021815867351196713
191,13_2,9_12,0.002774850962644299
192,13_2,9_13,0.009404815534575447
193,13_2,2_1,0.0998983327135538
194,13_2,2_2,0.020028949679807687
195,13_2,2_3,0.0027453591467520725
196,13_2,2_4,2.3831888796995153e-07
197,13_2,2_5,0.04174669356878127
198,13_2,2_6,0.0018418535907885388
199,13_2,5_1,0.01680424695956988
200,13_2,5_2,0.2482208949894991
201,13_2,5_3,0.22353882465600416
202,13_2,5_4,0.0009564634109417352
203,13_2,5_5,0.05200807511400198
204,13_2,5_6,0.08657754666307334
205,13_2,5_7,0.016820300288958367
206,13_2,5_8,0.01928629525268428
207,13_2,5_9,0.018092424875091138
208,13_2,5_10,0.08408105236597238
209,13_2,5_11,0.020531615470298057
210,13_2,5_12,0.0593991157250635
211,13_2,5_13,0.029406088901787836
212,13_2,5_14,0.06651175816818909
213,13_2,3_1,0.0005443580341130063
214,13_2,3_2,0.002322085557961794
215,13_2,3_3,0.00952091824367574
216,13_2,3_4,0.003698572837935495
217,13_2,3_5,0.0009589334676388634
