grp,variable,value
13_1,13_1,1.0
13_1,13_2,0.011800990697682052
13_1,13_3,9.498945756108754e-05
13_1,13_4,0.0965520555924993
13_1,14_1,0.059066513358103
13_1,14_2,0.14058146408688418
13_1,14_3,0.16079219280266724
13_1,14_4,0.10699645723972469
13_1,14_5,0.11543807171869014
13_1,14_6,0.302415453408947
13_1,14_7,0.0831736775693716
13_1,11_1,0.03663665491368772
13_1,11_2,0.01963611309259004
13_1,11_3,0.0016249349821407068
13_1,11_4,0.0062065126854900605
13_1,11_5,0.08037578977412915
13_1,11_6,0.10218241175094388
13_1,8_1,0.0011634427219987878
13_1,8_2,0.01910214301636894
13_1,8_3,0.010892070653011458
13_1,8_4,0.01007270812929425
13_1,8_5,0.03169849370905511
13_1,8_6,0.0446581775346635
13_1,7_1,0.003078534295502081
13_1,7_2,0.056304624769037456
13_1,7_3,0.0001311984353153028
13_1,7_4,0.05969284193047684
13_1,7_5,0.10983954311322867
13_1,7_6,0.07378315629412259
13_1,7_7,0.11773344975247221
13_1,7_8,0.1536696692193596
13_1,7_9,0.05361701897380662
13_1,7_10,0.1616221911652016
13_1,7_11,0.17118345035396743
13_1,10_1,0.1081004207536199
13_1,10_2,0.023236551696818358
13_1,10_3,0.07541387875811258
13_1,10_4,0.13035723080687456
13_1,10_5,0.09936770158042835
13_1,10_6,0.16198937974696503
13_1,12_1,0.01412341856588822
13_1,12_2,0.0003484348966801824
13_1,12_3,0.08948691190898815
13_1,12_4,0.019347640494621288
13_1,6_1,0.17147994411566436
13_1,6_2,0.14586843096421928
13_1,6_3,0.08655920943528556
13_1,6_4,0.020995648046030036
13_1,6_5,0.17892564077141404
13_1,6_6,0.12500642388436403
13_1,6_7,0.14589746342005483
13_1,6_8,0.18043067149989278
13_1,9_1,0.03447202871513211
13_1,9_2,0.058823457800576795
13_1,9_3,0.08387684762848527
13_1,9_4,0.09579187420043385
13_1,9_5,0.1315736163110963
13_1,9_6,0.1617282926646631
13_1,9_7,0.074135099744776
13_1,9_8,0.029127444534423782
13_1,9_9,0.1360825700811878
13_1,9_10,0.08716935955305655
13_1,9_11,0.132540088957068
13_1,9_12,0.05673337024748548
13_1,9_13,0.1297653368568162
13_1,2_1,0.001177970538942974
13_1,2_2,0.003995132305804065
13_1,2_3,0.0021179530252226695
13_1,2_4,0.05346941054888851
13_1,2_5,0.012655190283336547
13_1,2_6,9.358171367071994e-05
13_1,5_1,0.1662572219241098
13_1,5_2,0.008389681969560853
13_1,5_3,0.02252884170127577
13_1,5_4,0.00776839611235526
13_1,5_5,0.03625059813027046
13_1,5_6,0.1046552128011733
13_1,5_7,0.04559512666428979
13_1,5_8,0.043709975026795016
13_1,5_9,0.05976664387341344
13_1,5_10,0.057659756588154795
13_1,5_11,0.010692313237985671
13_1,5_12,0.08872618772321125
13_1,5_13,0.04754088124975864
13_1,5_14,0.07527453308137595
13_1,3_1,0.00825257445534555
13_1,3_2,0.032361900771298725
13_1,3_3,0.026097422710346495
13_1,3_4,0.013090441309414008
13_1,3_5,0.0005475641364318972
13_1,3_6,0.011780235082453863
13_1,3_7,0.007039121274218015
13_1,3_8,0.05457390426944192
13_1,3_9,0.07461623905367107
13_1,3_10,0.003087039669094439
13_1,3_11,0.002524560377912938
13_1,3_12,0.002225661484150677
13_1,3_13,0.039827737141010615
13_1,3_14,0.09524143382265185
13_1,3_15,0.08716447609504496
13_1,3_16,0.02312130402126884
13_1,3_17,0.08059888923182207
13_1,3_18,0.005798436355240102
13_1,3_19,0.007376269656733158
13_1,3_20,0.0672451948941478
13_1,3_21,0.14852403677618162
13_1,3_22,0.007427257122553056
13_1,4_1,0.0008228873844577114
13_1,4_2,0.031908005601581364
13_1,4_3,0.0363921862409404
13_1,4_4,0.016249289217729206
13_1,4_5,0.011224675646718725
13_1,4_6,0.006096863304512788
13_1,4_7,0.00023115898171312068
13_1,4_8,0.019659323740604452
13_1,4_9,0.013927335214221605
13_1,4_10,0.000891937325675841
13_1,1_1,0.0003484348966801824
13_1,1_2,0.0045080577587921665
13_1,1_3,0.016897118930839367
13_1,1_4,0.04815484669073791
13_1,1_5,0.014677114996646349
13_1,1_6,0.03528021860483909
13_1,1_7,0.035883260620527484
13_1,1_8,0.16393666380835104
13_1,1_9,0.027198387169013488
13_1,1_10,0.011713540196487134
13_1,1_11,0.02018008247371124
13_2,13_1,0.007402587791422942
13_2,13_2,1.0
13_2,13_3,0.08517652524958584
13_2,13_4,0.02841263109886538
13_2,14_1,0.002224304820560878
13_2,14_2,0.00952091824367574
13_2,14_3,0.0047905035275943135
13_2,14_4,0.01854209757625372
13_2,14_5,0.007912888013033078
13_2,14_6,0.00740167380215853
13_2,14_7,0.0001056795089086861
13_2,11_1,0.008903253202097991
13_2,11_2,0.013073040706118031
13_2,11_3,0.00247900368087051
13_2,11_4,0.01362726916706682
13_2,11_5,0.01012170794039959
