,name,cnt,grp,grp_cnt
0,Sense Death(MC),0.018533440773569703,13,185
1,Electronic interaction(MC),0.041901692183722805,13,185
2,Radar Sense(MC),0.0410958904109589,13,185
3,Danger Sense(MC),0.04754230459307011,13,185
4,Dummy13(MC),0.0,13,0
5,Penance Stare(MC),0.004834810636583401,14,224
6,Hellfire Control(MC),0.014504431909750202,14,224
7,Soul Absorption(MC),0.020950846091861403,14,224
8,Darkness Manipulation(MC),0.029008863819500404,14,224
9,Death Touch(MC),0.028203062046736505,14,224
10,Necromancy(MC),0.037066881547139406,14,224
11,Possession(MC),0.04593070104754231,14,224
12,Dummy14(MC),0.0,14,0
13,Blood Control(MC),0.0064464141821112,11,270
14,Controlled Bone Growth(MC),0.008058017727639,11,270
15,Pheromone Control(MC),0.007252215954875101,11,270
16,Enhance Mutation(MC),0.029814665592264304,11,270
17,Genetic Manipulation(MC),0.043513295729250605,11,270
18,Shape Shifter(MC),0.12248186946011282,11,270
19,Dummy11(MC),0.0,11,0
20,Inertia Absorption(MC),0.015310233682514102,8,369
21,Magnetism(MC),0.029008863819500404,8,369
22,Gravity control(MC),0.030620467365028204,8,369
23,Vibration Wave(MC),0.029814665592264304,8,369
24,Density Control(MC),0.048348106365834004,8,369
25,Force Field(MC),0.1442385173247381,8,369
26,Dummy8(MC),0.0,8,0
27,Sand manipulation(MC),0.0056406124093473006,7,393
28,Plant Control(MC),0.0128928283642224,7,393
29,Ice Breath(MC),0.020145044319097503,7,393
30,Flame Breath(MC),0.0257856567284448,7,393
31,Water Control(MC),0.018533440773569703,7,393
32,Ice Control(MC),0.022562449637389202,7,393
33,Earth Manipulation(MC),0.030620467365028204,7,393
34,Weather Control(MC),0.037066881547139406,7,393
35,Wind Bursts(MC),0.0394842868654311,7,393
36,Animal Control(MC),0.0427074939564867,7,393
37,Fire Control(MC),0.06124093473005641,7,393
38,Dummy7(MC),0.0,7,0
39,Probability Manipulation(MC),0.015310233682514102,10,463
40,Time Travel(MC),0.0652699435938759,10,463
41,Time Manipulation(MC),0.06688154713940371,10,463
42,Reality Manpulation(MC),0.072522159548751,10,463
43,Dimensional Manipulation(MC),0.0757453666398066,10,463
44,Illusion Casting(MC),0.07735697018533441,10,463
45,Dummy10(MC),0.0,10,0
46,Vampirism(MC),0.014504431909750202,12,632
47,Poisonous(MC),0.015310233682514102,12,632
48,Immortal(MC),0.16277195809830783,12,632
49,Invulnerability(MC),0.3166800966962127,12,632
50,Dummy12(MC),0.0,12,0
51,Animation(MC),0.032232070910556,6,581
52,Siphon Abilities(MC),0.0362610797743755,6,581
53,Siphon Lifeforce(MC),0.0410958904109589,6,581
54,Power Mimicry(MC),0.0443190975020145,6,581
55,Cosmic Awareness(MC),0.07010475423045931,6,581
56,Astral Projection(MC),0.06688154713940371,6,581
57,Divine Powers(MC),0.0789685737308622,6,581
58,Magic(MC),0.09830781627719581,6,581
59,Dummy6(MC),0.0,6,0
60,Psychometry(MC),0.015310233682514102,9,840
61,Postcognition(MC),0.012087026591458501,9,840
62,Voice-induced Manipulation(MC),0.022562449637389202,9,840
63,Emotion Control(MC),0.023368251410153102,9,840
64,Mesmerize(MC),0.03384367445608381,9,840
65,Precognition(MC),0.0378726833199033,9,840
66,Empathy(MC),0.0346494762288477,9,840
67,Willpower-Based Constructs(MC),0.0531829170024174,9,840
68,Hypnosis(MC),0.064464141821112,9,840
69,Psychic(MC),0.06365834004834811,9,840
70,Telekinesis(MC),0.09186140209508462,9,840
71,Psionic(MC),0.09427880741337631,9,840
72,Telepathy(MC),0.1297340854149879,9,840
73,Dummy9(MC),0.0,9,0
74,Implants(MC),0.08702659145850121,2,1367
75,Power Suit(MC),0.12167606768734891,2,1367
76,Insanely Rich(MC),0.13537469782433523,2,1367
77,Power Item(MC),0.1563255439161966,2,1367
78,Gadgets(MC),0.2908944399677679,2,1367
79,Weapon Master(MC),0.31023368251410155,2,1367
80,Dummy2(MC),0.0,2,0
81,Darkforce Manipulation(MC),0.029008863819500404,5,1531
82,Technopathy(MC),0.040290088638195005,5,1531
83,Electronic Disruption(MC),0.029008863819500404,5,1531
84,Radiation(MC),0.0394842868654311,5,1531
85,Holographic Projection(MC),0.037066881547139406,5,1531
86,Electricity Control(MC),0.06768734891216761,5,1531
87,Heat Generation(MC),0.07735697018533441,5,1531
88,Energy Based Constructs(MC),0.0757453666398066,5,1531
89,Light Projection(MC),0.07010475423045931,5,1531
90,Energy Shield(MC),0.088638195004029,5,1531
91,Energy-Enhanced Strike(MC),0.10878323932312652,5,1531
92,Energy Absorption(MC),0.12248186946011282,5,1531
93,Energy Manipulation(MC),0.14182111200644643,5,1531
94,Blast Power(MC),0.30620467365028203,5,1531
95,Dummy5(MC),0.0,5,0
96,Prehensile Hair(MC),0.0008058017727639,3,1814
97,Shadowmeld(MC),0.0064464141821112,3,1814
98,Chemical Absorbtion(MC),0.011281224818694601,3,1814
99,Sonic Scream(MC),0.012087026591458501,3,1814
100,Webslinger(MC),0.0128928283642224,3,1814
101,Chemical Secretion(MC),0.0273972602739726,3,1814
102,Wall Clinger(MC),0.031426269137792104,3,1814
103,Duplication(MC),0.035455278001611606,3,1814
104,Matter Absorption(MC),0.045124899274778404,3,1814
105,Elasticity(MC),0.0410958904109589,3,1814
106,Heat Vision(MC),0.041901692183722805,3,1814
107,Sub-Mariner(MC),0.0410958904109589,3,1814
108,Chameleon(MC),0.048348106365834004,3,1814
109,Invisibility(MC),0.06124093473005641,3,1814
110,Phasing / Ghost(MC),0.0854149879129734,3,1814
111,Size Manipulation(MC),0.09750201450443191,3,1814
112,Levitation(MC),0.08299758259468171,3,1814
113,Feral(MC),0.10797743755036261,3,1814
114,Claws(MC),0.1063658340048348,3,1814
115,Adaptive(MC),0.11925866236905722,3,1814
116,Teleport(MC),0.1313456889605157,3,1814
117,Flight(MC),0.314262691377921,3,1814
118,Dummy3(MC),0.0,3,0
119,Synaesthesia(MC),0.0024174053182917004,4,3049
120,Omni-lingual(MC),0.05801772763900081,4,3049
121,Swordsmanship(MC),0.11281224818694602,4,3049
122,Escape Artist(MC),0.1297340854149879,4,3049
123,Tracking(MC),0.2054794520547945,4,3049
124,Stealth(MC),0.22481869460112813,4,3049
125,Marksmanship(MC),0.23771152296535053,4,3049
126,Leadership(MC),0.33682514101531025,4,3049
127,Intellect(MC),0.5294117647058824,4,3049
128,Unarmed Combat(MC),0.6196615632554392,4,3049
129,Dummy4(MC),0.0,4,0
130,Super Eating(MC),0.020950846091861403,1,3354
131,Super Smell(MC),0.0926672038678485,1,3354
132,Super Hearing(MC),0.12570507655116842,1,3354
133,Berserker Strength(MC),0.14665592264302982,1,3354
134,Super Sight(MC),0.15551974214343273,1,3354
135,Longevity(MC),0.21434327155519742,1,3354
136,Super Speed(MC),0.27800161160354553,1,3354
137,Healing(MC),0.2715551974214343,1,3354
138,Super Strength(MC),0.46172441579371476,1,3354
139,Agility(MC),0.43674456083803387,1,3354
140,Stamina(MC),0.49879129734085415,1,3354
141,Dummy1(MC),0.0,1,0
142,Stamina(DC),0.4850187265917603,1,1309
143,Agility(DC),0.5636704119850188,1,1309
144,Super Strength(DC),0.36142322097378277,1,1309
145,Healing(DC),0.24906367041198502,1,1309
146,Super Speed(DC),0.2303370786516854,1,1309
147,Longevity(DC),0.18352059925093633,1,1309
148,Super Sight(DC),0.1254681647940075,1,1309
149,Berserker Strength(DC),0.07116104868913857,1,1309
150,Super Hearing(DC),0.11235955056179775,1,1309
151,Super Smell(DC),0.06554307116104868,1,1309
152,Super Eating(DC),0.003745318352059925,1,1309
153,Dummy1(DC),0.0,1,0
154,Unarmed Combat(DC),0.7059925093632958,4,1444
155,Intellect(DC),0.6198501872659176,4,1444
156,Leadership(DC),0.32209737827715357,4,1444
157,Marksmanship(DC),0.28277153558052437,4,1444
158,Stealth(DC),0.27340823970037453,4,1444
159,Tracking(DC),0.19101123595505617,4,1444
160,Escape Artist(DC),0.11423220973782772,4,1444
161,Swordsmanship(DC),0.13857677902621723,4,1444
162,Omni-lingual(DC),0.05056179775280899,4,1444
163,Synaesthesia(DC),0.0056179775280898875,4,1444
164,Dummy4(DC),0.0,4,0
165,Flight(DC),0.3707865168539326,3,731
166,Teleport(DC),0.1198501872659176,3,731
167,Adaptive(DC),0.0749063670411985,3,731
168,Claws(DC),0.10299625468164794,3,731
169,Feral(DC),0.06928838951310862,3,731
170,Levitation(DC),0.10299625468164794,3,731
171,Size Manipulation(DC),0.05805243445692884,3,731
172,Phasing / Ghost(DC),0.07865168539325842,3,731
173,Invisibility(DC),0.07677902621722846,3,731
174,Chameleon(DC),0.04307116104868914,3,731
175,Sub-Mariner(DC),0.04119850187265917,3,731
176,Heat Vision(DC),0.031835205992509365,3,731
177,Elasticity(DC),0.026217228464419477,3,731
178,Matter Absorption(DC),0.009363295880149813,3,731
179,Duplication(DC),0.024344569288389514,3,731
180,Wall Clinger(DC),0.033707865168539325,3,731
181,Chemical Secretion(DC),0.028089887640449437,3,731
182,Webslinger(DC),0.016853932584269662,3,731
183,Sonic Scream(DC),0.02247191011235955,3,731
184,Chemical Absorbtion(DC),0.0149812734082397,3,731
185,Shadowmeld(DC),0.016853932584269662,3,731
186,Prehensile Hair(DC),0.0056179775280898875,3,731
187,Dummy3(DC),0.0,3,0
188,Blast Power(DC),0.27340823970037453,5,623
189,Energy Manipulation(DC),0.1348314606741573,5,623
190,Energy Absorption(DC),0.10486891385767791,5,623
191,Energy-Enhanced Strike(DC),0.10861423220973783,5,623
192,Energy Shield(DC),0.10486891385767791,5,623
193,Light Projection(DC),0.09737827715355805,5,623
194,Energy Based Constructs(DC),0.07865168539325842,5,623
195,Heat Generation(DC),0.0599250936329588,5,623
196,Electricity Control(DC),0.056179775280898875,5,623
