,name,cnt,grp,grp_cnt
0,Sense Death(MC),0.013745704467353952,13,83
1,Electronic interaction(MC),0.024054982817869417,13,83
2,Radar Sense(MC),0.024054982817869417,13,83
3,Danger Sense(MC),0.033218785796105384,13,83
4,Dummy13(MC),0.0,13,0
5,Penance Stare(MC),0.0,14,62
6,Hellfire Control(MC),0.0057273768613974796,14,62
7,Soul Absorption(MC),0.0057273768613974796,14,62
8,Darkness Manipulation(MC),0.009163802978235968,14,62
9,Death Touch(MC),0.011454753722794959,14,62
10,Necromancy(MC),0.019473081328751432,14,62
11,Possession(MC),0.019473081328751432,14,62
12,Dummy14(MC),0.0,14,0
13,Blood Control(MC),0.001145475372279496,11,96
14,Controlled Bone Growth(MC),0.0057273768613974796,11,96
15,Pheromone Control(MC),0.0057273768613974796,11,96
16,Enhance Mutation(MC),0.009163802978235968,11,96
17,Genetic Manipulation(MC),0.020618556701030927,11,96
18,Shape Shifter(MC),0.06758304696449026,11,96
19,Dummy11(MC),0.0,11,0
20,Inertia Absorption(MC),0.009163802978235968,8,177
21,Magnetism(MC),0.021764032073310423,8,177
22,Gravity control(MC),0.018327605956471937,8,177
23,Vibration Wave(MC),0.026345933562428408,8,177
24,Density Control(MC),0.026345933562428408,8,177
25,Force Field(MC),0.10080183276059565,8,177
26,Dummy8(MC),0.0,8,0
27,Sand manipulation(MC),0.0057273768613974796,7,190
28,Plant Control(MC),0.011454753722794959,7,190
29,Ice Breath(MC),0.002290950744558992,7,190
30,Flame Breath(MC),0.009163802978235968,7,190
31,Water Control(MC),0.012600229095074456,7,190
32,Ice Control(MC),0.020618556701030927,7,190
33,Earth Manipulation(MC),0.020618556701030927,7,190
34,Weather Control(MC),0.018327605956471937,7,190
35,Wind Bursts(MC),0.026345933562428408,7,190
36,Animal Control(MC),0.041237113402061855,7,190
37,Fire Control(MC),0.049255441008018326,7,190
38,Dummy7(MC),0.0,7,0
39,Probability Manipulation(MC),0.013745704467353952,10,216
40,Time Travel(MC),0.050400916380297825,10,216
41,Time Manipulation(MC),0.033218785796105384,10,216
42,Reality Manpulation(MC),0.03665521191294387,10,216
